0x2030: "‰"
0x2031: "‱"
0x2032: "′"
0x2033: "″"
0x2034: "‴"
0x2035: "‵"
0x2036: "‶"
0x2037: "‷"
0x2038: "‸"
0x2039: "‹"
0x203a: "›"
0x203b: "※"
0x203c: "‼"
0x203d: "‽"
0x203e: "‾"
0x203f: "‿"
0x2103: "℃"
0x2160: "Ⅰ"
0x2161: "Ⅱ"
0x2162: "Ⅲ"
0x2163: "Ⅳ"
0x2164: "Ⅴ"
0x2165: "Ⅵ"
0x2166: "Ⅶ"
0x2167: "Ⅷ"
0x2168: "Ⅸ"
0x2169: "Ⅹ"
0x2170: "ⅰ"
0x2171: "ⅱ"
0x2172: "ⅲ"
0x2173: "ⅳ"
0x2174: "ⅴ"
0x2175: "ⅵ"
0x2176: "ⅶ"
0x2177: "ⅷ"
0x2178: "ⅸ"
0x2179: "ⅹ"
0x2190: "←"
0x2191: "↑"
0x2192: "→"
0x2193: "↓"
0x21d2: "⇒"
0x21d4: "⇔"
0x2266: "≦"
0x2267: "≧"
0x2460: "①"
0x2461: "②"
0x2462: "③"
0x2463: "④"
0x2464: "⑤"
0x2465: "⑥"
0x2466: "⑦"
0x2467: "⑧"
0x2468: "⑨"
0x2469: "⑩"
0x246a: "⑪"
0x246b: "⑫"
0x246c: "⑬"
0x246d: "⑭"
0x246e: "⑮"
0x246f: "⑯"
0x2470: "⑰"
0x2471: "⑱"
0x2472: "⑲"
0x2473: "⑳"
0x2474: "⑴"
0x2475: "⑵"
0x2476: "⑶"
0x2477: "⑷"
0x2478: "⑸"
0x2479: "⑹"
0x247a: "⑺"
0x247b: "⑻"
0x247c: "⑼"
0x247d: "⑽"
0x247e: "⑾"
0x247f: "⑿"
0x2480: "⒀"
0x2481: "⒁"
0x2482: "⒂"
0x2483: "⒃"
0x2484: "⒄"
0x2485: "⒅"
0x2486: "⒆"
0x2487: "⒇"
0x2488: "⒈"
0x2489: "⒉"
0x248a: "⒊"
0x248b: "⒋"
0x248c: "⒌"
0x248d: "⒍"
0x248e: "⒎"
0x248f: "⒏"
0x2490: "⒐"
0x2491: "⒑"
0x2492: "⒒"
0x2493: "⒓"
0x2494: "⒔"
0x2495: "⒕"
0x2496: "⒖"
0x2497: "⒗"
0x2498: "⒘"
0x2499: "⒙"
0x249a: "⒚"
0x249b: "⒛"
0x249c: "⒜"
0x249d: "⒝"
0x249e: "⒞"
0x249f: "⒟"
0x24a0: "⒠"
0x24a1: "⒡"
0x24a2: "⒢"
0x24a3: "⒣"
0x24a4: "⒤"
0x24a5: "⒥"
0x24a6: "⒦"
0x24a7: "⒧"
0x24a8: "⒨"
0x24a9: "⒩"
0x24aa: "⒪"
0x24ab: "⒫"
0x24ac: "⒬"
0x24ad: "⒭"
0x24ae: "⒮"
0x24af: "⒯"
0x24b0: "⒰"
0x24b1: "⒱"
0x24b2: "⒲"
0x24b3: "⒳"
0x24b4: "⒴"
0x24b5: "⒵"
0x24b6: "Ⓐ"
0x24b7: "Ⓑ"
0x24b8: "Ⓒ"
0x24b9: "Ⓓ"
0x24ba: "Ⓔ"
0x24bb: "Ⓕ"
0x24bc: "Ⓖ"
0x24bd: "Ⓗ"
0x24be: "Ⓘ"
0x24bf: "Ⓙ"
0x24c0: "Ⓚ"
0x24c1: "Ⓛ"
0x24c2: "Ⓜ"
0x24c3: "Ⓝ"
0x24c4: "Ⓞ"
0x24c5: "Ⓟ"
0x24c6: "Ⓠ"
0x24c7: "Ⓡ"
0x24c8: "Ⓢ"
0x24c9: "Ⓣ"
0x24ca: "Ⓤ"
0x24cb: "Ⓥ"
0x24cc: "Ⓦ"
0x24cd: "Ⓧ"
0x24ce: "Ⓨ"
0x24cf: "Ⓩ"
0x24d0: "ⓐ"
0x24d1: "ⓑ"
0x24d2: "ⓒ"
0x24d3: "ⓓ"
0x24d4: "ⓔ"
0x24d5: "ⓕ"
0x24d6: "ⓖ"
0x24d7: "ⓗ"
0x24d8: "ⓘ"
0x24d9: "ⓙ"
0x24da: "ⓚ"
0x24db: "ⓛ"
0x24dc: "ⓜ"
0x24dd: "ⓝ"
0x24de: "ⓞ"
0x24df: "ⓟ"
0x24e0: "ⓠ"
0x24e1: "ⓡ"
0x24e2: "ⓢ"
0x24e3: "ⓣ"
0x24e4: "ⓤ"
0x24e5: "ⓥ"
0x24e6: "ⓦ"
0x24e7: "ⓧ"
0x24e8: "ⓨ"
0x24e9: "ⓩ"
0x24ea: "⓪"
0x24eb: "⓫"
0x24ec: "⓬"
0x24ed: "⓭"
0x24ee: "⓮"
0x24ef: "⓯"
0x24f0: "⓰"
0x24f1: "⓱"
0x24f2: "⓲"
0x24f3: "⓳"
0x24f4: "⓴"
0x24f5: "⓵"
0x24f6: "⓶"
0x24f7: "⓷"
0x24f8: "⓸"
0x24f9: "⓹"
0x24fa: "⓺"
0x24fb: "⓻"
0x24fc: "⓼"
0x24fd: "⓽"
0x24fe: "⓾"
0x24ff: "⓿"
0x25a0: "■"
0x25a1: "□"
0x25b2: "▲"
0x25b3: "△"
0x25bc: "▼"
0x25bd: "▽"
0x25c6: "◆"
0x25c7: "◇"
0x25cb: "○"
0x25cf: "●"
0x2600: "☀"
0x2601: "☁"
0x2602: "☂"
0x2603: "☃"
0x2604: "☄"
0x2605: "★"
0x2606: "☆"
0x2607: "☇"
0x2608: "☈"
0x2609: "☉"
0x260a: "☊"
0x260b: "☋"
0x260c: "☌"
0x260d: "☍"
0x260e: "☎"
0x260f: "☏"
0x2610: "☐"
0x2611: "☑"
0x2612: "☒"
0x2613: "☓"
0x2614: "☔"
0x2615: "☕"
0x2616: "☖"
0x2617: "☗"
0x2618: "☘"
0x2619: "☙"
0x261a: "☚"
0x261b: "☛"
0x261c: "☜"
0x261d: "☝"
0x261e: "☞"
0x261f: "☟"
0x2620: "☠"
0x2621: "☡"
0x2622: "☢"
0x2623: "☣"
0x2624: "☤"
0x2625: "☥"
0x2626: "☦"
0x2627: "☧"
0x2628: "☨"
0x2629: "☩"
0x262a: "☪"
0x262b: "☫"
0x262c: "☬"
0x262d: "☭"
0x262e: "☮"
0x262f: "☯"
0x2630: "☰"
0x2631: "☱"
0x2632: "☲"
0x2633: "☳"
0x2634: "☴"
0x2635: "☵"
0x2636: "☶"
0x2637: "☷"
0x2638: "☸"
0x2639: "☹"
0x263a: "☺"
0x263b: "☻"
0x263c: "☼"
0x263d: "☽"
0x263e: "☾"
0x263f: "☿"
0x2640: "♀"
0x2641: "♁"
0x2642: "♂"
0x2643: "♃"
0x2644: "♄"
0x2645: "♅"
0x2646: "♆"
0x2647: "♇"
0x2648: "♈"
0x2649: "♉"
0x264a: "♊"
0x264b: "♋"
0x264c: "♌"
0x264d: "♍"
0x264e: "♎"
0x264f: "♏"
0x2650: "♐"
0x2651: "♑"
0x2652: "♒"
0x2653: "♓"
0x2654: "♔"
0x2655: "♕"
0x2656: "♖"
0x2657: "♗"
0x2658: "♘"
0x2659: "♙"
0x265a: "♚"
0x265b: "♛"
0x265c: "♜"
0x265d: "♝"
0x265e: "♞"
0x265f: "♟"
0x2660: "♠"
0x2661: "♡"
0x2662: "♢"
0x2663: "♣"
0x2664: "♤"
0x2665: "♥"
0x2666: "♦"
0x2667: "♧"
0x2668: "♨"
0x2669: "♩"
0x266a: "♪"
0x266b: "♫"
0x266c: "♬"
0x266d: "♭"
0x266e: "♮"
0x266f: "♯"
0x2670: "♰"
0x2671: "♱"
0x2672: "♲"
0x2673: "♳"
0x2674: "♴"
0x2675: "♵"
0x2676: "♶"
0x2677: "♷"
0x2678: "♸"
0x2679: "♹"
0x267a: "♺"
0x267b: "♻"
0x267c: "♼"
0x267d: "♽"
0x267e: "♾"
0x267f: "♿"
0x2690: "⚐"
0x2691: "⚑"
0x2692: "⚒"
0x2693: "⚓"
0x2694: "⚔"
0x2695: "⚕"
0x2696: "⚖"
0x2697: "⚗"
0x2698: "⚘"
0x2699: "⚙"
0x269a: "⚚"
0x269b: "⚛"
0x269c: "⚜"
0x26a0: "⚠"
0x26a1: "⚡"
0x26a2: "⚢"
0x26a3: "⚣"
0x26a4: "⚤"
0x26a5: "⚥"
0x26a6: "⚦"
0x26a7: "⚧"
0x26a8: "⚨"
0x26a9: "⚩"
0x26aa: "⚪"
0x26ab: "⚫"
0x26ac: "⚬"
0x26ad: "⚭"
0x26b0: "⚰"
0x26b1: "⚱"
0x26b9: "⚹"
0x2701: "✁"
0x2702: "✂"
0x2703: "✃"
0x2704: "✄"
0x2705: "✅"
0x2706: "✆"
0x2707: "✇"
0x2708: "✈"
0x2709: "✉"
0x270c: "✌"
0x270d: "✍"
0x270e: "✎"
0x270f: "✏"
0x2710: "✐"
0x2711: "✑"
0x2712: "✒"
0x2713: "✓"
0x2714: "✔"
0x2715: "✕"
0x2716: "✖"
0x2717: "✗"
0x2718: "✘"
0x2719: "✙"
0x271a: "✚"
0x271b: "✛"
0x271c: "✜"
0x271d: "✝"
0x271e: "✞"
0x271f: "✟"
0x2720: "✠"
0x2721: "✡"
0x2722: "✢"
0x2723: "✣"
0x2724: "✤"
0x2725: "✥"
0x2726: "✦"
0x2727: "✧"
0x2729: "✩"
0x272a: "✪"
0x272b: "✫"
0x272c: "✬"
0x272d: "✭"
0x272e: "✮"
0x272f: "✯"
0x2730: "✰"
0x2731: "✱"
0x2732: "✲"
0x2733: "✳"
0x2734: "✴"
0x2735: "✵"
0x2736: "✶"
0x2737: "✷"
0x2738: "✸"
0x2739: "✹"
0x273a: "✺"
0x273b: "✻"
0x273c: "✼"
0x273d: "✽"
0x273e: "✾"
0x273f: "✿"
0x2740: "❀"
0x2741: "❁"
0x2742: "❂"
0x2743: "❃"
0x2744: "❄"
0x2745: "❅"
0x2746: "❆"
0x2747: "❇"
0x2748: "❈"
0x2749: "❉"
0x274a: "❊"
0x274b: "❋"
0x274c: "❌"
0x274d: "❍"
0x274f: "❏"
0x2750: "❐"
0x2751: "❑"
0x2752: "❒"
0x2756: "❖"
0x2758: "❘"
0x2759: "❙"
0x275a: "❚"
0x275b: "❛"
0x275c: "❜"
0x275d: "❝"
0x275e: "❞"
0x2761: "❡"
0x2762: "❢"
0x2763: "❣"
0x2764: "❤"
0x2765: "❥"
0x2766: "❦"
0x2767: "❧"
0x2768: "❨"
0x2769: "❩"
0x276a: "❪"
0x276b: "❫"
0x276c: "❬"
0x276d: "❭"
0x276e: "❮"
0x276f: "❯"
0x2770: "❰"
0x2771: "❱"
0x2772: "❲"
0x2773: "❳"
0x2774: "❴"
0x2775: "❵"
0x2776: "❶"
0x2777: "❷"
0x2778: "❸"
0x2779: "❹"
0x277a: "❺"
0x277b: "❻"
0x277c: "❼"
0x277d: "❽"
0x277e: "❾"
0x277f: "❿"
0x2780: "➀"
0x2781: "➁"
0x2782: "➂"
0x2783: "➃"
0x2784: "➄"
0x2785: "➅"
0x2786: "➆"
0x2787: "➇"
0x2788: "➈"
0x2789: "➉"
0x278a: "➊"
0x278b: "➋"
0x278c: "➌"
0x278d: "➍"
0x278e: "➎"
0x278f: "➏"
0x2790: "➐"
0x2791: "➑"
0x2792: "➒"
0x2793: "➓"
0x2794: "➔"
0x2798: "➘"
0x2799: "➙"
0x279a: "➚"
0x279b: "➛"
0x279c: "➜"
0x279d: "➝"
0x279e: "➞"
0x279f: "➟"
0x27f5: "⟵"
0x27f6: "⟶"
0x27f7: "⟷"
0x2b05: "⬅"
0x2b06: "⬆"
0x2b07: "⬇"
0x2b08: "⬈"
0x2b09: "⬉"
0x2b0a: "⬊"
0x2b0b: "⬋"
0x2b0c: "⬌"
0x2b0d: "⬍"
0x303f: "〿"
0xe0a0: ""
0xe0a1: ""
0xe0a2: ""
0xe0a3: ""
0xe0b0: ""
0xe0b1: ""
0xe0b2: ""
0xe0b3: ""
0xe0b4: ""
0xe0b5: ""
0xe0b6: ""
0xe0b7: ""
0xe0b8: ""
0xe0b9: ""
0xe0ba: ""
0xe0bb: ""
0xe0bc: ""
0xe0bd: ""
0xe0be: ""
0xe0bf: ""
0xe0c0: ""
0xe0c1: ""
0xe0c2: ""
0xe0c3: ""
0xe0c4: ""
0xe0c5: ""
0xe0c6: ""
0xe0c7: ""
0xe0c8: ""
0xe0ca: ""
0xe0cc: ""
0xe0cd: ""
0xe0ce: ""
0xe0cf: ""
0xe0d0: ""
0xe0d1: ""
0xe0d2: ""
0xe0d4: ""
0xe200: ""
0xe201: ""
0xe202: ""
0xe203: ""
0xe204: ""
0xe205: ""
0xe206: ""
0xe207: ""
0xe208: ""
0xe209: ""
0xe20a: ""
0xe20b: ""
0xe20c: ""
0xe20d: ""
0xe20e: ""
0xe20f: ""
0xe210: ""
0xe211: ""
0xe212: ""
0xe213: ""
0xe214: ""
